CLASS,TERM,INSTRUCTOR,A,B,C,D,F,P,NP,IX,EW,W,TOTAL,,,,,
MATH13,SPRING24,HERICHI H,10,9,2,1,4,,4,,1,3,34,,,,,
MATH13,SPRING24,LIN B,11,8,8,1,3,,3,,6,,40,,,,,
MATH13,SPRING24,MALDAGUE J,15,9,6,1,1,,,,1,1,34,,,,,
MATH13,SPRING24,ASKARIAN S N,7,7,1,,1,1,2,,3,3,25,,,,,
MATH15,SPRING24,OUELLETTE K R,10,6,3,1,2,1,2,,6,3,34,,,,,
MATH15,SPRING24,NESTLER A E,,1,2,2,2,,1,,4,6,18,,,,,
MATH21,SPRING24,MAKNOUNI M,4,4,4,1,7,,3,,7,5,35,,,,,
MATH21,SPRING24,SIMO A L,10,6,2,2,3,,1,,4,4,32,,,,,
MATH21,SPRING24,ROSS K R,8,5,5,3,8,2,3,,1,2,37,,,,,
MATH21,SPRING24,ENGLAND A M,6,4,5,1,9,1,4,,5,2,37,,,,,
MATH21,SPRING24,EMERSON A J,4,2,1,1,1,,,1,1,10,21,,,,,
MATH21,SPRING24,MAKNOUNI M,3,1,5,3,2,,,,8,7,29,,,,,
MATH26,SPRING24,CHITGAR M H,5,5,11,1,,2,1,,2,5,32,,,,,
MATH26,SPRING24,CHITGAR M H,2,4,12,,,2,,,4,6,30,,,,,
MATH26,SPRING24,BRONIE B L,3,2,7,6,,,1,,8,7,34,,,,,
MATH26,SPRING24,TSVIKYAN A,6,1,4,,3,,,,7,9,30,,,,,
MATH28,SPRING24,LUI,18,11,12,2,2,,1,,,,46,,,,,
MATH28,SPRING24,SMITH S P,6,7,3,2,5,1,,,3,3,30,,,,,
MATH28,SPRING24,KAMIN G,9,2,5,,1,,1,,3,5,26,,,,,
MATH29,SPRING24,RODAS B G,5,3,2,,,,,,3,,13,,,,,
MATH54,SPRING24,PEREZ R E,20,8,2,2,3,1,4,,2,2,44,,,,,
MATH54,SPRING24,ESMAEILI AK,8,4,8,4,3,,2,,,,29,,,,,
MATH54,SPRING24,HANCOCK M D,13,9,,2,3,,1,,7,8,43,,,,,
MATH54,SPRING24,SASO M,3,6,5,6,3,,1,,11,4,39,,,,,
MATH54,SPRING24,SASO M,4,3,2,5,1,2,2,,6,9,34,,,,,
MATH54,SPRING24,HANCOCK M D,18,3,5,1,5,,1,,7,3,43,,,,,
MATH54,SPRING24,HANCOCK M D,11,6,4,2,2,3,1,,7,6,42,,,,,
MATH54,SPRING24,NGUYEN D T,2,4,2,1,11,,,,8,2,30,,,,,
MATH54,SPRING24,VENDLINSKI T P,13,1,3,1,3,,3,,2,,26,,,,,
MATH54,SPRING24,ENGLAND A M,7,3,1,1,7,,1,,11,1,32,,,,,
MATH54,SPRING24,EDINGER G C,2,8,10,1,2,,1,,5,4,33,,,,,
MATH54,SPRING24,EDINGER G C,4,4,7,4,2,2,1,,3,8,35,,,,,
MATH54,SPRING24,FORBES J,3,3,7,2,1,,1,,14,10,41,,,,,
MATH54,SPRING24,FORBES J,3,5,5,1,5,1,2,,12,7,41,,,,,
MATH54,SPRING24,NGUYEN D T,3,3,2,1,9,,2,,8,2,30,,,,,
MATH54,SPRING24,HANCOCK M D,9,5,3,2,8,,1,,10,5,43,,,,,
MATH54,SPRING24,NGUYEN D T,4,1,3,,5,,5,,7,9,34,,,,,
MATH54,SPRING24,ESMAEILI AK,11,8,10,5,4,,2,1,1,3,45,,,,,
MATH54,SPRING24,MARTINEZ M G,12,6,4,1,1,3,1,,,1,29,,,,,
MATH54,SPRING24,MARDIROSIAN R,15,10,5,2,3,1,1,,3,1,41,,,,,
MATH54,SPRING24,FOSTER M,2,4,1,6,8,2,,,8,5,36,,,,,
MATH54,SPRING24,HE F Y,2,3,3,,2,,2,,9,9,30,,,,,
MATH54,SPRING24,JAHANGARD E,,,1,1,3,1,3,,9,7,25,,,,,
MATH54,SPRING24,PHUA N,4,3,7,,3,,1,,8,3,29,,,,,
MATH54,SPRING24,PACHAS,7,6,1,,4,,,,5,6,29,,,,,
MATH54,SPRING24,SIMO A L,4,5,5,5,2,,4,,2,4,31,,,,,
MATH54,SPRING24,EDINGER G C,9,10,2,,4,,1,,4,4,34,,,,,
MATH54,SPRING24,KIM J J,6,5,4,1,3,,2,,3,7,31,,,,,
MATH54,SPRING24,CHAU E,4,5,2,2,6,,1,,1,3,24,,,,,
MATH54,SPRING24,GRAVES L P,3,2,5,5,2,,1,,4,10,32,,,,,
MATH54,SPRING24,FOSTER M,,2,4,4,8,,,,6,6,30,,,,,
MATH54,SPRING24,XIE M C,5,4,5,1,3,,,,11,8,37,,,,,
MATH54,SPRING24,PHUA N,2,3,5,,10,,,,4,6,30,,,,,
MATH54,SPRING24,BAYSSA B T,2,5,5,1,7,,1,,5,,26,,,,,
MATH54,SPRING24,LAN H,12,6,6,2,2,,1,,5,4,38,,,,,
MATH54,SPRING24,LOPEZ J E,12,3,9,4,2,,1,,4,1,36,,,,,
MATH54,SPRING24,HUANG C Y,14,6,4,,4,,1,,5,,34,,,,,
MATH54,SPRING24,MARTINEZ M G,13,3,1,2,,3,2,,,2,26,,,,,
MATH54,SPRING24,NGUYEN D T,,,2,3,8,1,3,,12,3,32,,,,,
MATH54,SPRING24,JAHANGARD E,1,2,4,2,8,1,1,,8,8,35,,,,,
MATH54,SPRING24,RAHNAVARD M H,4,3,4,1,4,,,,4,9,29,,,,,
MATH54,SPRING24,HE F Y,16,15,1,3,,,,,8,1,44,,,,,
